hs6,year,side
080440,2011,only_old
100191,2011,only_old
091091,2021,only_old
080711,2014,only_old
090411,2013,only_old
081070,2012,only_old
520100,2012,only_old
070320,2011,only_old
090811,2012,only_old
100640,2011,only_old
121190,2015,only_old
070200,2011,only_old
120721,2011,only_old
080590,2011,only_old
070110,2014,only_old
070490,2023,only_old
070390,2023,only_old
070490,2022,only_old
070390,2022,only_old
080520,2013,only_old
100111,2011,only_old
071490,2013,only_old
121293,2013,only_old
080410,2013,only_old
080720,2014,only_old
080211,2013,only_old
081040,2014,only_old
070490,2015,only_old
071340,2011,only_old
080112,2013,only_old
090121,2012,only_old
120750,2011,only_old
091030,2011,only_old
080119,2014,only_old
120760,2011,only_old
100710,2011,only_old
080251,2014,only_old
091091,2013,only_old
090121,2019,only_old
080921,2019,only_old
080590,2021,only_old
100390,2014,only_old
090122,2016,only_old
120510,2014,only_old
070951,2011,only_old
090220,2014,only_old
070991,2012,only_old
090619,2011,only_old
080921,2014,only_old
090961,2014,only_old
520100,2023,only_old
070410,2013,only_old
090121,2017,only_old
070420,2014,only_old
121299,2023,only_old
070810,2011,only_old
090611,2014,only_old
080390,2013,only_old
070959,2012,only_old
080261,2012,only_old
100821,2013,only_old
080231,2014,only_old
080131,2012,only_old
100620,2011,only_old
090122,2018,only_old
100510,2014,only_old
100191,2013,only_old
070690,2013,only_old
080280,2021,only_old
121291,2012,only_old
070820,2013,only_old
070320,2013,only_old
070700,2011,only_old
071120,2020,only_old
091011,2020,only_old
090421,2011,only_old
100640,2013,only_old
080830,2013,only_old
070200,2013,only_old
120721,2013,only_old
071430,2012,only_old
080840,2011,only_old
080131,2014,only_old
080211,2012,only_old
080590,2013,only_old
070960,2013,only_old
080540,2011,only_old
090121,2023,only_old
090121,2022,only_old
071420,2012,only_old
080121,2014,only_old
100410,2011,only_old
071410,2014,only_old
080310,2016,only_old
100111,2013,only_old
071120,2016,only_old
091011,2016,only_old
091091,2012,only_old
090121,2015,only_old
121190,2020,only_old
080921,2015,only_old
070310,2011,only_old
070930,2011,only_old
080930,2011,only_old
090112,2011,only_old
071340,2013,only_old
120600,2014,only_old
120750,2013,only_old
120760,2013,only_old
090122,2012,only_old
070970,2011,only_old
071120,2018,only_old
091011,2018,only_old
080280,2013,only_old
090422,2011,only_old
071331,2011,only_old
090122,2019,only_old
080940,2014,only_old
121190,2016,only_old
080711,2011,only_old
070490,2020,only_old
070390,2020,only_old
071310,2014,only_old
080241,2014,only_old
090619,2013,only_old
120190,2012,only_old
090122,2017,only_old
090931,2014,only_old
080510,2013,only_old
070690,2012,only_old
121190,2018,only_old
070999,2012,only_old
070110,2011,only_old
090111,2013,only_old
100610,2014,only_old
100620,2013,only_old
070490,2016,only_old
070390,2016,only_old
080221,2014,only_old
080111,2014,only_old
080720,2011,only_old
070960,2012,only_old
081040,2011,only_old
071331,2021,only_old
070890,2016,only_old
091091,2023,only_old
091091,2022,only_old
080310,2012,only_old
070700,2013,only_old
070390,2018,only_old
070490,2018,only_old
080119,2011,only_old
080310,2019,only_old
080251,2011,only_old
071120,2019,only_old
091011,2019,only_old
100630,2013,only_old
090122,2022,only_old
100119,2013,only_old
080550,2014,only_old
070992,2012,only_old
100390,2011,only_old
071120,2014,only_old
091011,2014,only_old
120730,2013,only_old
120510,2011,only_old
090122,2015,only_old
090220,2011,only_old
080310,2017,only_old
080450,2012,only_old
080921,2011,only_old
100310,2012,only_old
090961,2011,only_old
090831,2012,only_old
070310,2013,only_old
120740,2014,only_old
070420,2011,only_old
520100,2016,only_old
081050,2014,only_old
080930,2013,only_old
070970,2013,only_old
121299,2016,only_old
090921,2014,only_old
080231,2011,only_old
071331,2013,only_old
120242,2012,only_old
090710,2012,only_old
080719,2013,only_old
100510,2011,only_old
121190,2014,only_old
090121,2020,only_old
080810,2012,only_old
520100,2018,only_old
080711,2013,only_old
080921,2020,only_old
151010,2016,only_old
070521,2014,only_old
100210,2012,only_old
080131,2011,only_old
070390,2019,only_old
120750,2012,only_old
080310,2023,only_old
120242,2014,only_old
080310,2022,only_old
070890,2012,only_old
090121,2016,only_old
080121,2011,only_old
070890,2019,only_old
081020,2013,only_old
121291,2011,only_old
071410,2011,only_old
070390,2014,only_old
070490,2014,only_old
080310,2015,only_old
070511,2013,only_old
090112,2014,only_old
090240,2013,only_old
100630,2012,only_old
120799,2014,only_old
090230,2014,only_old
090121,2018,only_old
090821,2012,only_old
080420,2014,only_old
070890,2017,only_old
100199,2014,only_old
070519,2012,only_old
080610,2012,only_old
080940,2011,only_old
081060,2012,only_old
070940,2012,only_old
070519,2019,only_old
081030,2012,only_old
121299,2012,only_old
080232,2012,only_old
081010,2012,only_old
100390,2013,only_old
520100,2019,only_old
121299,2019,only_old
071310,2011,only_old
091020,2013,only_old
090122,2011,only_old
090220,2013,only_old
080241,2011,only_old
080719,2012,only_old
090961,2013,only_old
080430,2012,only_old
090931,2011,only_old
070420,2013,only_old
080929,2012,only_old
081070,2014,only_old
090611,2013,only_old
520100,2014,only_old
070519,2017,only_old
151010,2012,only_old
090811,2014,only_old
100610,2011,only_old
070890,2023,only_old
520100,2017,only_old
070890,2022,only_old
151010,2019,only_old
121299,2017,only_old
070390,2015,only_old
080221,2011,only_old
080111,2011,only_old
090122,2020,only_old
070920,2012,only_old
070890,2015,only_old
081020,2012,only_old
070610,2012,only_old
070993,2012,only_old
091091,2016,only_old
081090,2012,only_old
080910,2013,only_old
070511,2012,only_old
151010,2017,only_old
120400,2012,only_old
070519,2023,only_old
090121,2014,only_old
070519,2022,only_old
071410,2013,only_old
080550,2011,only_old
090210,2012,only_old
091091,2018,only_old
520100,2022,only_old
071120,2011,only_old
091011,2011,only_old
121299,2022,only_old
090411,2012,only_old
070519,2015,only_old
081090,2017,only_old
120740,2011,only_old
081050,2011,only_old
120600,2013,only_old
520100,2015,only_old
090921,2011,only_old
121299,2015,only_old
070991,2014,only_old
080440,2013,only_old
070992,2011,only_old
091020,2012,only_old
151010,2023,only_old
151010,2022,only_old
080310,2020,only_old
070959,2014,only_old
080261,2014,only_old
121190,2011,only_old
080450,2011,only_old
080520,2012,only_old
080410,2012,only_old
071490,2012,only_old
121293,2012,only_old
070521,2011,only_old
151010,2015,only_old
080241,2013,only_old
121291,2014,only_old
120242,2011,only_old
090931,2013,only_old
090710,2011,only_old
080112,2012,only_old
071120,2021,only_old
081090,2023,only_old
091011,2021,only_old
081090,2022,only_old
080810,2011,only_old
071430,2014,only_old
080211,2014,only_old
070490,2011,only_old
080910,2012,only_old
070390,2011,only_old
091091,2019,only_old
080111,2013,only_old
071420,2014,only_old
081090,2015,only_old
091030,2013,only_old
080310,2018,only_old
100710,2013,only_old
120799,2011,only_old
070890,2011,only_old
090230,2011,only_old
080280,2016,only_old
080420,2011,only_old
091091,2014,only_old
121190,2021,only_old
070410,2012,only_old
100199,2011,only_old
080390,2012,only_old
091091,2017,only_old
100821,2012,only_old
070951,2013,only_old
090122,2014,only_old
080550,2013,only_old
090821,2011,only_old
080440,2012,only_old
071120,2013,only_old
070810,2013,only_old
100191,2012,only_old
070890,2020,only_old
091011,2013,only_old
070820,2012,only_old
070320,2012,only_old
070490,2021,only_old
070390,2021,only_old
081070,2011,only_old
100640,2012,only_old
520100,2011,only_old
080830,2012,only_old
120721,2012,only_old
070200,2012,only_old
090921,2013,only_old
090811,2011,only_old
081030,2011,only_old
121299,2011,only_old
080590,2012,only_old
081010,2011,only_old
120190,2014,only_old
070690,2014,only_old
070999,2014,only_old
090421,2013,only_old
121190,2013,only_old
070820,2014,only_old
100111,2012,only_old
080840,2013,only_old
080929,2011,only_old
070519,2020,only_old
080830,2014,only_old
151010,2011,only_old
080540,2013,only_old
070960,2014,only_old
091091,2015,only_old
520100,2020,only_old
070890,2018,only_old
121299,2020,only_old
100410,2013,only_old
071340,2012,only_old
080590,2017,only_old
120760,2012,only_old
091030,2012,only_old
080310,2014,only_old
100710,2012,only_old
080280,2012,only_old
080252,2017,only_new
080242,2017,only_new
090620,2020,only_new
090510,2017,only_new
090932,2023,only_new
121221,2018,only_new
090932,2022,only_new
120590,2017,only_new
090812,2022,only_new
100590,2020,only_new
100810,2023,only_new
100810,2022,only_new
100829,2016,only_new
100790,2019,only_new
090812,2015,only_new
090922,2020,only_new
080222,2020,only_new
080252,2023,only_new
080242,2023,only_new
080252,2022,only_new
080242,2022,only_new
100810,2015,only_new
090510,2022,only_new
100590,2016,only_new
090510,2023,only_new
100829,2018,only_new
120110,2021,only_new
120590,2023,only_new
120590,2022,only_new
100790,2017,only_new
080252,2015,only_new
080242,2015,only_new
090510,2015,only_new
080222,2016,only_new
100590,2018,only_new
120590,2015,only_new
121294,2020,only_new
090720,2020,only_new
121010,2021,only_new
080132,2016,only_new
080222,2018,only_new
080212,2020,only_new
100790,2023,only_new
100790,2022,only_new
090832,2020,only_new
180100,2021,only_new
100829,2019,only_new
100790,2015,only_new
090832,2016,only_new
090822,2017,only_new
080212,2018,only_new
100829,2017,only_new
120710,2023,only_new
090832,2018,only_new
070529,2016,only_new
080222,2019,only_new
090520,2023,only_new
090932,2020,only_new
080132,2019,only_new
090812,2020,only_new
100810,2020,only_new
090822,2023,only_new
090822,2022,only_new
090932,2016,only_new
100829,2022,only_new
090300,2023,only_new
080132,2017,only_new
080252,2020,only_new
080242,2020,only_new
090510,2020,only_new
100810,2016,only_new
100829,2015,only_new
090962,2017,only_new
120590,2020,only_new
090932,2018,only_new
090832,2019,only_new
090510,2016,only_new
100810,2018,only_new
080132,2023,only_new
120791,2021,only_new
080132,2022,only_new
080252,2018,only_new
