parent_code,group_name,sub_code,product_name,scientific_name
0632010,Strawberry,0632010-092,Walnut,Juglans nigra
0632010,Strawberry,0632010-093,,Juglans regia
0632010,Strawberry,0632010-094,White deadnettle,Lamium album
0632010,Strawberry,0632010-095,Wild angelica,Angelica sylvestris
0632010,Strawberry,0632010-096,Wild strawberry,Fragaria vesca
0632010,Strawberry,0632010-097,Willow herb,Epilobium angustifolium ; syn: Chamaenerium angustifolium
0632010,Strawberry,0632010-098,Witch hazel,Hamamelis virginiana
0632010,Strawberry,0632010-099,Wood betony,Stachys officinalis ; syn: Betonica officinalis
0632010,Strawberry,0632010-100,Yarrow,Achillea millefolium
0632010,Strawberry,0632010-101,Yellow bedstraw,Galium verum
0632010,Strawberry,0632010-102,Yellow sweet clover,Melilotus officinalis
0632010,Strawberry,0632010-103,Muña,Minthostachys spp.
0632020,Rooibos,,,Aspalathus linearis
0632020,Rooibos,0632020-001,Honeybush,Cyclopia genistoides
0632020,Rooibos,0632020-002,,Cyclopia intermedia
